"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",2,3,3,3,3,1,1,0,0,-1,1
"2",3,3,3,3,1,1,0,0,-1,0,2
"3",3,3,3,1,2,0,0,-1,0,1,1
"4",3,3,1,2,1,0,-1,0,1,-1,3
"5",3,1,2,1,3,-1,0,1,-1,-1,1
"6",1,2,1,3,1,0,1,-1,-1,1,1
"7",2,1,3,1,1,1,-1,-1,1,0,2
"8",1,3,1,1,2,-1,-1,1,0,0,3
"9",3,1,1,2,3,-1,1,0,0,-1,1
"10",1,1,2,3,1,1,0,0,-1,-1,2
"11",1,2,3,1,2,0,0,-1,-1,1,3
"12",2,3,1,2,3,0,-1,-1,1,-1,3
"13",3,1,2,3,3,-1,-1,1,-1,1,1
"14",1,2,3,3,1,-1,1,-1,1,-1,3
"15",2,3,3,1,3,1,-1,1,-1,0,1
"16",3,3,1,3,1,-1,1,-1,0,1,3
"17",3,1,3,1,3,1,-1,0,1,1,1
"18",1,3,1,3,1,-1,0,1,1,-1,3
"19",3,1,3,1,3,0,1,1,-1,1,2
"20",1,3,1,3,2,1,1,-1,1,-1,3
"21",3,1,3,2,3,1,-1,1,-1,1,1
"22",1,3,2,3,1,-1,1,-1,1,0,2
"23",3,2,3,1,2,1,-1,1,0,1,2
"24",2,3,1,2,2,-1,1,0,1,-1,2
"25",3,1,2,2,2,1,0,1,-1,0,2
"26",1,2,2,2,2,0,1,-1,0,-1,1
"27",2,2,2,2,1,1,-1,0,-1,-1,2
"28",2,2,2,1,2,-1,0,-1,-1,0,2
"29",2,2,1,2,2,0,-1,-1,0,0,3
"30",2,1,2,2,3,-1,-1,0,0,1,1
"31",1,2,2,3,1,-1,0,0,1,0,3
"32",2,2,3,1,3,0,0,1,0,-1,2
"33",2,3,1,3,2,0,1,0,-1,0,2
"34",3,1,3,2,2,1,0,-1,0,-1,1
"35",1,3,2,2,1,0,-1,0,-1,0,1
"36",3,2,2,1,1,-1,0,-1,0,-1,3
"37",2,2,1,1,3,0,-1,0,-1,1,3
"38",2,1,1,3,3,-1,0,-1,1,1,3
"39",1,1,3,3,3,0,-1,1,1,-1,2
"40",1,3,3,3,2,-1,1,1,-1,0,3
"41",3,3,3,2,3,1,1,-1,0,1,3
"42",3,3,2,3,3,1,-1,0,1,-1,2
"43",3,2,3,3,2,-1,0,1,-1,-1,1
"44",2,3,3,2,1,0,1,-1,-1,-1,1
"45",3,3,2,1,1,1,-1,-1,-1,-1,1
"46",3,2,1,1,1,-1,-1,-1,-1,-1,1
"47",2,1,1,1,1,-1,-1,-1,-1,0,1
"48",1,1,1,1,1,-1,-1,-1,0,0,1
"49",1,1,1,1,1,-1,-1,0,0,1,1
"50",1,1,1,1,1,-1,0,0,1,0,1
"51",1,1,1,1,1,0,0,1,0,-1,1
"52",1,1,1,1,1,0,1,0,-1,1,2
"53",1,1,1,1,2,1,0,-1,1,1,2
"54",1,1,1,2,2,0,-1,1,1,0,1
"55",1,1,2,2,1,-1,1,1,0,1,3
"56",1,2,2,1,3,1,1,0,1,0,2
"57",2,2,1,3,2,1,0,1,0,0,3
"58",2,1,3,2,3,0,1,0,0,-1,1
"59",1,3,2,3,1,1,0,0,-1,-1,2
"60",3,2,3,1,2,0,0,-1,-1,1,3
"61",2,3,1,2,3,0,-1,-1,1,-1,3
"62",3,1,2,3,3,-1,-1,1,-1,0,3
"63",1,2,3,3,3,-1,1,-1,0,0,3
"64",2,3,3,3,3,1,-1,0,0,0,3
"65",3,3,3,3,3,-1,0,0,0,-1,2
"66",3,3,3,3,2,0,0,0,-1,-1,2
"67",3,3,3,2,2,0,0,-1,-1,-1,3
"68",3,3,2,2,3,0,-1,-1,-1,0,1
"69",3,2,2,3,1,-1,-1,-1,0,-1,2
"70",2,2,3,1,2,-1,-1,0,-1,0,1
"71",2,3,1,2,1,-1,0,-1,0,1,3
"72",3,1,2,1,3,0,-1,0,1,0,3
"73",1,2,1,3,3,-1,0,1,0,0,3
"74",2,1,3,3,3,0,1,0,0,0,3
"75",1,3,3,3,3,1,0,0,0,1,3
"76",3,3,3,3,3,0,0,0,1,0,2
